DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
06.01.2021;00:00;00:15;25,780;;25,780
06.01.2021;00:15;00:30;58,280;;58,280
06.01.2021;00:30;00:45;51,940;;51,940
06.01.2021;00:45;01:00;51,540;;51,540
06.01.2021;01:00;01:15;65,290;;65,290
06.01.2021;01:15;01:30;57,470;;57,470
06.01.2021;01:30;01:45;55,740;;55,740
06.01.2021;01:45;02:00;48,930;;48,930
06.01.2021;02:00;02:15;46,380;;46,380
06.01.2021;02:15;02:30;47,500;;47,500
06.01.2021;02:30;02:45;43,230;;43,230
06.01.2021;02:45;03:00;41,410;;41,410
06.01.2021;03:00;03:15;44,760;;44,760
06.01.2021;03:15;03:30;44,100;;44,100
06.01.2021;03:30;03:45;46,380;;46,380
06.01.2021;03:45;04:00;45,020;;45,020
06.01.2021;04:00;04:15;30,170;;30,170
06.01.2021;04:15;04:30;45,890;;45,890
06.01.2021;04:30;04:45;52,890;;52,890
06.01.2021;04:45;05:00;48,190;;48,190
06.01.2021;05:00;05:15;48,340;;48,340
06.01.2021;05:15;05:30;58,430;;58,430
06.01.2021;05:30;05:45;70,600;;70,600
06.01.2021;05:45;06:00;70,960;;70,960
06.01.2021;06:00;06:15;57,140;;57,140
06.01.2021;06:15;06:30;67,250;;67,250
06.01.2021;06:30;06:45;57,890;;57,890
06.01.2021;06:45;07:00;58,400;;58,400
06.01.2021;07:00;07:15;58,660;;58,660
06.01.2021;07:15;07:30;53,690;;53,690
06.01.2021;07:30;07:45;47,620;;47,620
06.01.2021;07:45;08:00;49,150;;49,150
06.01.2021;08:00;08:15;41,930;;41,930
06.01.2021;08:15;08:30;61,270;;61,270
06.01.2021;08:30;08:45;55,890;;55,890
06.01.2021;08:45;09:00;55,500;;55,500
06.01.2021;09:00;09:15;72,310;;72,310
06.01.2021;09:15;09:30;49,420;;49,420
06.01.2021;09:30;09:45;54,050;;54,050
06.01.2021;09:45;10:00;55,520;;55,520
06.01.2021;10:00;10:15;65,670;;65,670
06.01.2021;10:15;10:30;70,980;;70,980
06.01.2021;10:30;10:45;74,450;;74,450
06.01.2021;10:45;11:00;68,920;;68,920
06.01.2021;11:00;11:15;60,000;;60,000
06.01.2021;11:15;11:30;60,180;;60,180
06.01.2021;11:30;11:45;58,580;;58,580
06.01.2021;11:45;12:00;61,350;;61,350
06.01.2021;12:00;12:15;75,490;;75,490
06.01.2021;12:15;12:30;80,640;;80,640
06.01.2021;12:30;12:45;75,760;;75,760
06.01.2021;12:45;13:00;68,810;;68,810
06.01.2021;13:00;13:15;67,410;;67,410
06.01.2021;13:15;13:30;66,040;;66,040
06.01.2021;13:30;13:45;56,590;;56,590
